id,cidade,lat,lon
3507753,Brejo Alegre,-21.176365703666324,-50.20935257635905
3507803,Brodowski,-21.049032043308383,-47.62765647552049
3507902,Brotas,-22.272630885923828,-48.08076137510189
3508009,Buri,-23.751460570232666,-48.57492092004643
3508108,Buritama,-21.04881062522439,-50.19995208464521
3508207,Buritizal,-20.209300838325653,-47.69250596950973
3508306,Cabrália Paulista,-22.488980581503032,-49.37232192713894
3508405,Cabreúva,-23.30088878688986,-47.0800499687823
3508504,Caçapava,-23.103282519715293,-45.71303617030463
3508603,Cachoeira Paulista,-22.701816758066236,-44.99137041886341
3508702,Caconde,-21.53934478224624,-46.61661311085924
3508801,Cafelândia,-21.7307036796852,-49.54831281238883
3508900,Caiabu,-21.94933907618942,-51.22336551075773
3509007,Caieiras,-23.376124723888072,-46.74440195314325
3509106,Caiuá,-21.80192674512227,-51.986796896932624
3509205,Cajamar,-23.350939822666145,-46.87156389729678
3509254,Cajati,-24.771464042997273,-48.19446966299844
3509304,Cajobi,-20.87344160252221,-48.83810654200676
3509403,Cajuru,-21.27552619568918,-47.30991324782505
3509452,Campina do Monte Alegre,-23.60652241734433,-48.44151200954441
3509502,Campinas,-22.883562463473083,-47.04343008774881
3509601,Campo Limpo Paulista,-23.21784996411114,-46.75978393687598
3509700,Campos do Jordão,-22.70125198043538,-45.53262266417115
3509809,Campos Novos Paulista,-22.610543003911598,-50.00960500494505
3509908,Cananéia,-25.018179599097543,-48.00782415595285
3509957,Canas,-22.729482623341163,-45.041048281723185
3510005,Cândido Mota,-22.808109567280447,-50.42116606770194
3510104,Cândido Rodrigues,-21.34247926380546,-48.62796116862279
3510153,Canitar,-23.018833398641704,-49.791468326042335
3510203,Capão Bonito,-24.038687265022226,-48.28943614301633
3510302,Capela do Alto,-23.466801956684524,-47.73052545565178
3510401,Capivari,-22.980489180758553,-47.47761071443553
3510500,Caraguatatuba,-23.63936054773048,-45.48864997652931
3510609,Carapicuíba,-23.55025639585203,-46.84208211550846
3510708,Cardoso,-20.0670819768214,-49.94713825451314
3510807,Casa Branca,-21.800197855790977,-47.087699824850894
3510906,Cássia dos Coqueiros,-21.262685193943422,-47.1438749936293
3511003,Castilho,-20.897283714123812,-51.56967142917026
3511102,Catanduva,-21.133439116805313,-48.96307445991559
3511201,Catiguá,-21.062315919245698,-49.05234079266553
3511300,Cedral,-20.913199577627285,-49.263139541092876
3511409,Cerqueira César,-23.059549641207983,-49.142974341716375
3511508,Cerquilho,-23.186427479197047,-47.75658899201476
3511607,Cesário Lange,-23.216224916808155,-47.90364334824489
3511706,Charqueada,-22.52986904870595,-47.745971503475545
3511904,Clementina,-21.570179220465015,-50.45997391714834
3512001,Colina,-20.74569102690097,-48.588561792760736
3512100,Colômbia,-20.26636472101827,-48.72102871316632
3512209,Conchal,-22.368952837996666,-47.14083945997607
3512308,Conchas,-22.965185612180147,-48.04648922778143
3512407,Cordeirópolis,-22.478722488112258,-47.41412459413936
3512506,Coroados,-21.375291763833374,-50.303061109329654
3512605,Coronel Macedo,-23.629633768147432,-49.30641655506204
3512704,Corumbataí,-22.235909748629936,-47.61075772235845
3512803,Cosmópolis,-22.65104590050096,-47.18618355138334
3512902,Cosmorama,-20.443241497807044,-49.77480831724538
3513009,Cotia,-23.674697734282955,-46.960112070214954
3513108,Cravinhos,-21.33935742911492,-47.74442011393428
3513207,Cristais Paulista,-20.37082624971381,-47.40027554061388
3513306,Cruzália,-22.73724539264307,-50.76891016690113
3513405,Cruzeiro,-22.551102411326138,-45.00573908203191
3513504,Cubatão,-23.865390986501172,-46.407667072404394
3513603,Cunha,-23.052641219662725,-44.94176218389764
3513702,Descalvado,-21.88087991734531,-47.654174516325696
3513801,Diadema,-23.696989545670714,-46.61135662769273
3513850,Dirce Reis,-20.4482081651741,-50.62776804477093
3513900,Divinolândia,-21.661086458631804,-46.69723346719873
3514007,Dobrada,-21.515697052753563,-48.35729561876087
3514106,Dois Córregos,-22.3953796234535,-48.340147996680926
3514205,Dolcinópolis,-20.116118694784863,-50.527660795571
3514304,Dourado,-22.116857508086092,-48.33296384062903
3514403,Dracena,-21.5565965703692,-51.58356539295735
3514502,Duartina,-22.39283821964569,-49.41292436350093
3514601,Dumont,-21.246748458731002,-47.980138248519474
3514700,Echaporã,-22.447872710433437,-50.19982369427248
3514809,Eldorado,-24.49455084770453,-48.233149298071496
3514908,Elias Fausto,-23.07010420948487,-47.369901544837184
3514924,Elisiário,-21.160783277861675,-49.091375583839536
3514957,Embaúba,-20.952565225524356,-48.84722443920197
3515004,Embu,-23.65086657389839,-46.851491667619236
3515103,Embu-Guaçu,-23.854073947999694,-46.83047270707441
3515129,Emilianópolis,-21.80112885500166,-51.47165437112075
3515152,Engenheiro Coelho,-22.486782728231713,-47.17463986433875
3515186,Espírito Santo do Pinhal,-22.192206835871612,-46.793212544251794
3515194,Espírito Santo do Turvo,-22.670032258990986,-49.43258080682371
3515202,Estrela d'Oeste,-20.26542908038289,-50.41090299924706
3515301,Estrela do Norte,-22.484611178011676,-51.669051463441754
