MUNICIPIO,ID_MUNICIP,GVE,UNIDADE_DE_SAUDE,ENDERECO,TEM_SORO,TIPO_SORO,24H,TELEFONE,ACIDENTES,LATITUDE,LONGITUDE,BOTROPICO,CROTALICO,ELAPIDICO,LAQUETICO,LOXOSCELICO,FONEUTRICO,ESCORPIONICO,LONOMICO,lat,lon
MONGAGUA,353110,GVE 25 SANTOS,UPA MONGAGUÁ,"AV. MONTEIRO LOBATO, 9.400 – AGENOR DE CAMPOS",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(13) 3507-1110,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.412.556,-4.668.513,1,1,0,0,1,1,1,0,-24.12556,-46.68513
MONTE ALEGRE DO SUL,353120,GVE 17 CAMPINAS,CENTRO DE SAUDE III MONTE ALEGRE DO SUL,"R. Pref. José Amaral - Monte Alegre do Sul, SP, 13820-000",0,,0,(19) 3899-1300,,-2.268.609,-4.668.165,0,0,0,0,0,0,0,0,-22.68609,-46.68165
MONTE ALTO,353130,GVE 24 RIBEIRAO PRETO,PRONTO SOCORRO MUNICIPAL DE MONTE ALTO,"RUA JEREMIAS DE PAULA EDUARDO, 2287, CENTRO",1,Escorpiônico,1,(16) 3242-2100 / 8358,ESCORPIÃO.,-2.126.441,-4.850.212,0,0,0,0,0,0,1,0,-21.26441,-48.50212
MONTE APRAZIVEL,353140,GVE 29 SAO JOSE DO RIO PRETO,IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE MONTE APRAZÍVEL,"RUA SÃO JOÃO, 729, CENTRO, 15150-000",1,Escorpiônico,1,(17) 3275-9510,ESCORPIÃO.,-2.077.163,-4.970.840,0,0,0,0,0,0,1,0,-20.77163,-49.7084
MONTE AZUL PAULISTA,353150,GVE 14 BARRETOS,HOSPITAL SENHOR BOM JESUS,"R. Rui Barbosa, 267 - Centro, Monte Azul Paulista - SP, 14730-000",0,,1,(17) 3361-9210,,-2.090.531,-4.863.770,0,0,0,0,0,0,0,0,-20.90531,-48.6377
MONTE CASTELO,353160,GVE 22 PRESIDENTE VENCESLAU,CENTRO DE SAUDE DE MONTE CASTELO VICE PREFEITO CHIGAMI SUZUK,"R. Joana Maria Genebra Sferra, 319 - Centro, Monte Castelo - SP, 17960-000",0,,0,(18) 3855-1171,,-2.129.949,-5.156.950,0,0,0,0,0,0,0,0,-21.29949,-51.5695
MONTE MOR,353180,GVE 17 CAMPINAS,ASSOCIACAO HOSPITAL BENEFICENTE SAGRADO CORACAO DE JESUS,"Av. Jânio Quadros, 1000 - Centro, Monte Mor - SP, 13190-000",0,,1,(19) 3879-1999,,-2.295.018,-4.730.612,0,0,0,0,0,0,0,0,-22.95018,-47.30612
MONTEIRO LOBATO,353170,GVE 27 SAO JOSE DOS CAMPOS,CENTRO DE SAÚDE III DR. JOÃO AURICCHO,"RUA ANTÔNIO ALVES MAGALHÃES, 20 – CENTRO",1,"Escorpiônico, Fonêutrico e Loxoscélico, Fonêutrico.",1,(12) 3979-1124,ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.295.518,-4.583.919,0,0,0,0,1,1,1,0,-22.95518,-45.83919
MORRO AGUDO,353190,GVE 18 FRANCA,HOSP. SÃO MARCOS DA SAMA,"R. SEBASTIÃO ANTONIO MUNIZ, 164",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(16) 3851-3000,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.073.566,-4.805.505,1,1,0,0,1,1,1,0,-20.73566,-48.05505
MORUNGABA,353200,GVE 17 CAMPINAS,HOSPITAL MUNICIPAL SANTO ANTONIO,"Rua André Aparecido Tomazino, n° 28 - Jardim Ana, Morungaba - SP, 13262-036",0,,1,(11) 4014-4624,,-2.287.367,-4.678.690,0,0,0,0,0,0,0,0,-22.87367,-46.7869
MOTUCA,353205,GVE 12 ARARAQUARA,CMO OCTAVIO THOMAZ DE AQUINO MOTUCA,"R. Gerudy Figueiredo - Centro, Motuca - SP, 14835-000",0,,0,(16) 3348-9400,,-2.151.225,-4.815.070,0,0,0,0,0,0,0,0,-21.51225,-48.1507
MURUTINGA DO SUL,353210,GVE 11 ARACATUBA,UBS II ANATALICIO DE OLIVEIRA DE MURUTINGA DO SUL,"R. Orlando Molina, 187, Murutinga do Sul - SP, 16950-000",0,,0,(18) 3788-1406,,-2.098.863,-5.127.908,0,0,0,0,0,0,0,0,-20.98863,-51.27908
NANTES,353215,GVE 21 PRESIDENTE PRUDENTE,UNIDADE BASICA DE SAUDE - NANTES,"R. Gonçalves de Assis, 352, Nantes - SP, 19650-013",0,,0,(18) 3268-6181,,-2.262.137,-5.123.823,0,0,0,0,0,0,0,0,-22.62137,-51.23823
NARANDIBA,353220,GVE 21 PRESIDENTE PRUDENTE,UBS II DE NARANDIBA COM SERVICO DE ESF,"R. Alves de Almeida, Narandiba - SP, 19220-000",0,,0,(18) 3992-1101,,-2.240.593,-5.152.299,0,0,0,0,0,0,0,0,-22.40593,-51.52299
NATIVIDADE DA SERRA,353230,GVE 33 TAUBATE,CENTRO DE SAUDE DE NATIVIDADE DA SERRA,"R. José F da Silva - Natividade da Serra, SP, 12180-000",0,,0,(12) 3677-1102,,-2.337.875,-4.544.641,0,0,0,0,0,0,0,0,-23.37875,-45.44641
NAZARE PAULISTA,353240,GVE 17 CAMPINAS,HOSPITAL MUNICIPAL DE NAZARE PAULISTA,"Ezau Avelino Pinheiro, 100, Nazaré Paulista - SP, 12960-000",0,,1,(11) 4597-1588,,-2.316.119,-4.639.404,0,0,0,0,0,0,0,0,-23.16119,-46.39404
NEVES PAULISTA,353250,GVE 29 SAO JOSE DO RIO PRETO,SANTA CASA DE NEVES PAULISTA,"R. Floriano Peixoto, 95 - Centro, Neves Paulista - SP, 15120-000",0,,1,(17) 3271-1297,,-2.085.043,-4.963.117,0,0,0,0,0,0,0,0,-20.85043,-49.63117
NHANDEARA,353260,GVE 29 SAO JOSE DO RIO PRETO,HOSPITAL SAO DOMINGOS NA PROV DE DEUS NHANDEARA,"R. Nossa Sra. das Graças, 272 - Vila Aparecia, Nhandeara - SP, 15190-000",0,,1,(17) 3467-4910,,-2.069.864,-5.003.553,0,0,0,0,0,0,0,0,-20.69864,-50.03553
NIPOA,353270,GVE 29 SAO JOSE DO RIO PRETO,CS DE NIPOA,"R. Rio de Janeiro, 873, Nipoã - SP, 15240-000",0,,0,-,,-2.091.426,-4.977.967,0,0,0,0,0,0,0,0,-20.91426,-49.77967
NOVA ALIANCA,353280,GVE 29 SAO JOSE DO RIO PRETO,CS DE NOVA ALIANCA,"R. Rio Preto - Nova Aliança, SP, 15210-000",0,,1,(17) 3811-1208,,-2.101.888,-4.950.238,0,0,0,0,0,0,0,0,-21.01888,-49.50238
NOVA CAMPINA,353282,GVE 32 ITAPEVA,UNIDADE DE SAÚDE JOÃO RODRIGUES DE PROENÇA,"R. JOÃO NUNES DE OLIVEIRA, 525 - CENTRO - 18435-000",1,"Escorpiônico e Loxoscélico, Fonêutrico",0,(15) 3535-1264,ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.412.111,-4.890.718,0,0,0,0,1,1,1,0,-24.12111,-48.90718
NOVA CANAA PAULISTA,353284,GVE 30 JALES,UBS DE NOVA CANAA PAULISTA,"R. Seis, 576, Nova Canaã Paulista - SP, 15773-000",0,,0,-,,-2.038.955,-5.094.736,0,0,0,0,0,0,0,0,-20.38955,-50.94736
NOVA CASTILHO,353286,GVE 11 ARACATUBA,UBS PROF PAULO RICOY DE CAMARGO NOVA CASTILHO,"R. Sete de Setembro, 381, Nova Castilho - SP, 15313-000",0,,0,(17) 3831-6160,,-2.076.232,-5.034.049,0,0,0,0,0,0,0,0,-20.76232,-50.34049
NOVA EUROPA,353290,GVE 12 ARARAQUARA,SANTA CASA DE MISERICORDIA NOVA EUROPA,"R. Osvaldo Pongetti, Nova Europa - SP, 14920-000",0,,1,(16) 3387-1312,,-2.177.988,-4.856.788,0,0,0,0,0,0,0,0,-21.77988,-48.56788
NOVA GRANADA,353300,GVE 29 SAO JOSE DO RIO PRETO,P. S. MUNICIPAL DE NOVA GRANADA,"AV. DR. HILDEBERTO A. FERREIRA, Nº 1271, CENTRO",1,Escorpiônico,1,(17) 3262-2843,ESCORPIÃO.,-2.053.813,-4.932.452,0,0,0,0,0,0,1,0,-20.53813,-49.32452
NOVA GUATAPORANGA,353310,GVE 22 PRESIDENTE VENCESLAU,CENTRO DE SAUDE DE NOVA GUATAPORANGA,"R. Brasil, 315 - Centro, Nova Guataporanga - SP, 17950-000",0,,0,(18) 3856-1249,,-2.133.602,-5.164.503,0,0,0,0,0,0,0,0,-21.33602,-51.64503
NOVA INDEPENDENCIA,353320,GVE 11 ARACATUBA,UBS II LENIR SPAZZAPAN DE ALENCAR NOVA INDEPENDENCIA,"Av. Euríco Soares Andrade, 595-691, Nova Independência - SP, 16940-000",0,,1,(18) 3744-1135,,-2.110.578,-5.149.151,0,0,0,0,0,0,0,0,-21.10578,-51.49151
NOVA LUZITANIA,353330,GVE 11 ARACATUBA,UBS III NOVA LUZITANIA,"R. José da Silva Carvalhais, 1660, Nova Luzitânia - SP, 15340-000",0,,0,(17) 3483-1213,,-2.085.622,-5.026.448,0,0,0,0,0,0,0,0,-20.85622,-50.26448
NOVA ODESSA,353340,GVE 17 CAMPINAS,HOSPITAL E MATERNIDADE MUNICIPAL DR ACILIO CARRION GARCIA,"R. Aristídes Bassora, s/n - Bosque dos Cedros, Nova Odessa - SP, 13460-000",0,,1,(19) 3476-8194,,-2.278.012,-4.730.011,0,0,0,0,0,0,0,0,-22.78012,-47.30011
NOVAIS,353325,GVE 29 SAO JOSE DO RIO PRETO,PRONTO ATENDIMENTO DE NOVAIS,"R. Maj. João Batista Novais, 466, Novais - SP, 15885-000",0,,1,(17) 3561-1181,,-2.099.203,-4.891.844,0,0,0,0,0,0,0,0,-20.99203,-48.91844
NOVO HORIZONTE,353350,GVE 29 SAO JOSE DO RIO PRETO,IRMANDADE SANTA CASA DE MISERICÓRDIA - NOVO HORIZONTE,"RUA VINTE E OITO DE OUTUBRO, 1202 - CENTRO",1,"Botrópico, Crotálico e Escorpiônico",1,(17) 3542-9292 / (17) 3542-1020,JARARACA; CASCAVEL; ESCORPIÃO.,-2.146.599,-4.922.677,1,1,0,0,0,0,1,0,-21.46599,-49.22677
NUPORANGA,353360,GVE 18 FRANCA,HOSPITAL SAO GERALDO DE NUPORANGA,"R. São José, 287 - Centro, Nuporanga - SP, 14670-000",0,,1,(16) 3847-1129,,-2.072.994,-4.774.993,0,0,0,0,0,0,0,0,-20.72994,-47.74993
OCAUCU,353370,GVE 19 MARILIA,CENTRO DE SAUDE DE OCAUCU,"Av. Celeste Casagrande, 115, Ocauçu - SP, 17540-023",0,,0,(14) 3475-1205,,-2.243.910,-4.991.983,0,0,0,0,0,0,0,0,-22.4391,-49.91983
OLEO,353380,GVE 13 ASSIS,CS III DR RICARDO FRANKLIN DE MELLO,"R. José Antônio Salgado, 111 - Óleo, SP, 18790-013",0,,0,(14) 3357-1400,,-2.294.324,-4.934.265,0,0,0,0,0,0,0,0,-22.94324,-49.34265
OLIMPIA,353390,GVE 14 BARRETOS,UNIDADE DE PRONTO ATENDIMENTO 24 H WILSON ZANGIROLAMI,"AV. VALDEMAR LOPES FERRAZ, 288 - CENTRO",1,"Botrópico, Crotálico, Escorpiônico, Loxoscélico, Fonêutrico e Lonômico.",1,(17) 3281-6044 / 3280-6305,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO; LONÔMIA.,-2.073.962,-4.890.639,1,1,0,0,1,1,1,1,-20.73962,-48.90639
ONDA VERDE,353400,GVE 29 SAO JOSE DO RIO PRETO,CS DE ONDA VERDE,"R. Luzia da Silva Florêncio, 1000, Onda Verde - SP, 15450-000",0,,1,(17) 3268-1186,,-2.060.557,-4.930.067,0,0,0,0,0,0,0,0,-20.60557,-49.30067
ORIENTE,353410,GVE 19 MARILIA,UNIDADE MISTA DE SAUDE DE ORIENTE,"R. Mário Reis, 213, Oriente - SP, 17570-000",0,,1,-,,-2.215.325,-5.009.300,0,0,0,0,0,0,0,0,-22.15325,-50.093
ORINDIUVA,353420,GVE 29 SAO JOSE DO RIO PRETO,CS DE ORINDIÚVA,"AV. FRANCISCO TOMÁS AQUINO, 170 - 250, ORINDIÚVA - SP, 15480-000",1,"Botrópico, Crotálico e Escorpiônico",1,(17) 3816-1297,JARARACA; CASCAVEL; ESCORPIÃO.,-2.018.335,-4.935.220,1,1,0,0,0,0,1,0,-20.18335,-49.3522
ORLANDIA,353430,GVE 18 FRANCA,HOSP. BENEFICENTE SANTO ANTONIO DE ORLÂNDIA,"AV. 3, 941",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(16) 3820-4200,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.072.402,-4.789.101,1,1,0,0,1,1,1,0,-20.72402,-47.89101
OSASCO,353440,GVE 10 OSASCO,HOSPITAL MUNICIPAL ANTONIO GIGLIO,"R. Pedro Fioretti, 48 - Centro, Osasco - SP, 06013-070",0,,1,(11) 2183-9333,,-2.353.216,-4.677.737,0,0,0,0,0,0,0,0,-23.53216,-46.77737
OSCAR BRESSANE,353450,GVE 19 MARILIA,CS DE OSCAR BRESSANE PSF,"R. Vitório Girotto, 403, Oscar Bressane - SP, 19770-000",0,,0,(14) 3457-1138,,-2.231.641,-5.028.152,0,0,0,0,0,0,0,0,-22.31641,-50.28152
OSVALDO CRUZ,353460,GVE 19 MARILIA,SANTA CASA DE MISERICORDIA DE OSVALDO CRUZ,"Av. Pres. Vargas, 1 - Vila Sao Luis, Osvaldo Cruz - SP, 17700-190",0,,1,(18) 3529-9558,,-2.180.373,-5.087.691,0,0,0,0,0,0,0,0,-21.80373,-50.87691
OURINHOS,353470,GVE 13 ASSIS,SANTA CASA DE OURINHOS,"RUA D. PEDRO I, Nº 716, VILA MORAES",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(14) 3322-1133,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.298.404,-4.986.376,1,1,0,0,1,1,1,0,-22.98404,-49.86376
OURO VERDE,353480,GVE 22 PRESIDENTE VENCESLAU,UBS MARCIA CRISTIANE DA SILVA DE OURO VERDE,"R. Pernambuco, 648 - Centro, Ouro Verde - SP, 17920-000",0,,0,(18) 3872-1186,,-2.148.762,-5.170.040,0,0,0,0,0,0,0,0,-21.48762,-51.7004
OUROESTE,353475,GVE 30 JALES,HOSP. MUNICIPAL JOÃO VELOSO OUROESTE,AV. BANDEIRANTES 1026 CENTRO,1,"Botrópico, Crotálico, Escorpiônico e Loxoscélico, Fonêutrico.",1,(17) 3843-1312,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.000.467,-5.037.094,1,1,0,0,1,1,1,0,-20.00467,-50.37094
PACAEMBU,353490,GVE 19 MARILIA,PRONTO SOCORRO MUNICIPAL DE PACAEMBU,"Av. Gentil Valter Ribeiro, 360 - Jardim Marajá, Pacaembu - SP, 17860-000",0,,1,(18) 3862-1724,,-2.156.419,-5.125.223,0,0,0,0,0,0,0,0,-21.56419,-51.25223
PALESTINA,353500,GVE 29 SAO JOSE DO RIO PRETO,CS DE PALESTINA,"R. Zinho Dutra, 1271 - Palestina, SP, 15470-000",0,,1,(17) 3293-1345,,-2.039.447,-4.943.875,0,0,0,0,0,0,0,0,-20.39447,-49.43875
PALMARES PAULISTA,353510,GVE 29 SAO JOSE DO RIO PRETO,UBS III OLAVO DOMINGUES,"R. Sete de Setembro, 342, Palmares Paulista - SP, 15828-000",0,,1,(17) 3587-1164,,-2.108.338,-4.880.026,0,0,0,0,0,0,0,0,-21.08338,-48.80026
PALMEIRA DOESTE,353520,GVE 30 JALES,SANTA CASA DE PALMEIRA D'OESTE,"Av. Carlos Gomes, 4929 - Centro, Palmeira d'Oeste - SP, 15720-000",0,,1,(17) 3651-1432,,-2.041.824,-5.076.181,0,0,0,0,0,0,0,0,-20.41824,-50.76181
PALMITAL,353530,GVE 13 ASSIS,SANTA CASA DE MISERICORDIA DE PALMITAL,"Rua Alameda da Paz, 80 - Paraná, Palmital - SP, 19973-144",0,,1,(18) 3351-9100,,-2.279.147,-5.021.766,0,0,0,0,0,0,0,0,-22.79147,-50.21766
PANORAMA,353540,GVE 22 PRESIDENTE VENCESLAU,PRONTO ATENDIMENTO MUNICIPAL - PANORAMA,"RUA MANOEL FERNANDES DA CUNHA, 512",1,"Botrópico, Crotálico, Escorpiônico e Loxoscélico, Fonêutrico.",1,(18) 3871-1583,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.136.087,-5.185.891,1,1,0,0,1,1,1,0,-21.36087,-51.85891
PARAGUACU PAULISTA,353550,GVE 13 ASSIS,SANTA CASA DE PARAGUAÇU PAULISTA,"RUA CARAMURU Nº 568, CENTRO",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(18) 3361-1133,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.241.439,-5.057.929,1,1,0,0,1,1,1,0,-22.41439,-50.57929
PARAIBUNA,353560,GVE 27 SAO JOSE DOS CAMPOS,UNIDADE DE PRONTO ATENDIMENTO - PARAIBUNA,"RUA MAJOR SOARES, S/N",1,"Botrópico, Crotálico, Escorpiônico, Loxoscélico, Fonêutrico e Lonômico.",1,(12) 3974-0003,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.338.738,-4.566.088,1,1,0,0,1,1,1,1,-23.38738,-45.66088
PARAISO,353570,GVE 29 SAO JOSE DO RIO PRETO,UBS I EMILIO BARATTO,"R. São Pedro, 705, Paraíso - SP, 15825-000",0,,1,(17 )3567-9511,,-2.101.680,-4.877.242,0,0,0,0,0,0,0,0,-21.0168,-48.77242
PARANAPANEMA,353580,GVE 16 BOTUCATU,HOSPITAL MUNICIPAL LEONARDUS VAN MELLIS,"RUA URIAS DOMINGUES LEITE, S/Nº, CENTRO",1,Escorpiônico,1,(14) 3713-9131,ESCORPIÃO.,-2.338.713,-4.872.703,0,0,0,0,0,0,1,0,-23.38713,-48.72703
PARANAPUA,353590,GVE 30 JALES,CS DE PARANAPUA,"R. Dr. Júlio Amaral, 2528, Paranapuã - SP, 15745-000",0,,0,(17) 3648-9020,,-2.010.493,-5.058.583,0,0,0,0,0,0,0,0,-20.10493,-50.58583
PARAPUA,353600,GVE 19 MARILIA,SANTA CASA DE PARAPUA,"R. Fortaleza, 725 - Centro, Parapuã - SP, 17730-000",0,,1,(18) 3582-1393,,-2.178.478,-5.079.198,0,0,0,0,0,0,0,0,-21.78478,-50.79198
PARDINHO,353610,GVE 16 BOTUCATU,UNIDADE MISTA DE PARDINHO,"R. Francisco Eburneo, 100, Pardinho - SP, 18640-000",0,,1,(14) 3886-1334,,-2.308.373,-4.837.335,0,0,0,0,0,0,0,0,-23.08373,-48.37335
PARIQUERA ACU,353620,GVE 23 REGISTRO,HOSPITAL REGIONAL DRº LEOPOLDO BEVILACQUA,"RUA DO EXPEDICIONÁRIOS, 140 - CENTRO",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico, Lonômico e Escorpiônico.",1,(13) 3856-9600,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO; LONÔMIA.,-2.471.681,-4.787.869,1,1,0,0,1,1,1,1,-24.71681,-47.87869
PARISI,353625,GVE 29 SAO JOSE DO RIO PRETO,USF AMADEU GARCIA DE SOUZA PARISI,"R. Aurélio Parize - 292, Parisi - SP, 15525-000",0,,0,(17)3839-1138,,-2.030.273,-5.001.364,0,0,0,0,0,0,0,0,-20.30273,-50.01364
PATROCINIO PAULISTA,353630,GVE 18 FRANCA,SANTA CASA DE MISERICÓRDIA DE PATROCÍNIO PTA.,"R. CÔNEGO PEREGRINO, 1181",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(16) 3145-1121,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.064.346,-4.728.065,1,1,0,0,1,1,1,0,-20.64346,-47.28065
PAULICEIA,353640,GVE 22 PRESIDENTE VENCESLAU,CS DR JOSE A NOGUEIRA ESF I ROSIMAR DE ARAUJO FRANCO,"Av. Paulista, 1671 - Centro, Paulicéia - SP, 17990-000",0,,0,(18)3876-1156,,-2.131.430,-5.183.298,0,0,0,0,0,0,0,0,-21.3143,-51.83298
PAULINIA,353650,GVE 17 CAMPINAS,HOSPITAL MUNICIPAL DE PAULINIA (HMP),"R. Miguel Vicente Cury, 100 - Nova Paulínia, Paulínia - SP, 13140-000",1,Escorpiônico,1,(19) 3874-5500,ESCORPIÃO.,-2.277.029,-4.714.967,0,0,0,0,0,0,1,0,-22.77029,-47.14967
PAULISTANIA,353657,GVE 15 BAURU,UNIDADE MARIA NAZARETH,"R. José Porfírio, 18 - Centro, Paulistânia - SP, 17150-027",0,,0,(14) 3275-1015,,-2.257.631,-4.940.059,0,0,0,0,0,0,0,0,-22.57631,-49.40059
PAULO DE FARIA,353660,GVE 29 SAO JOSE DO RIO PRETO,SANTA CASA DE PAULO DE FARIA,"R. Zenha Ribeiro, 958 - Centro, Paulo de Faria - SP, 15490-000",0,,1,(17) 3292-1291,,-2.002.984,-4.940.170,0,0,0,0,0,0,0,0,-20.02984,-49.4017
PEDERNEIRAS,353670,GVE 15 BAURU,SANTA CASA DE PEDERNEIRAS,"Av. Paulista, O-325 - Centro, Pederneiras - SP, 17280-000",0,,1,(14) 3283-8380,,-2.235.043,-4.878.040,0,0,0,0,0,0,0,0,-22.35043,-48.7804
PEDRA BELA,353680,GVE 17 CAMPINAS,UNIDADE BASICA DE SAUDE DR JORGE HIRODI ORITA,"R. Bernardino de Lima Paes, 51, Pedra Bela - SP, 12990-000",0,,0,(11) 4037-1495,,-2.279.675,-4.644.373,0,0,0,0,0,0,0,0,-22.79675,-46.44373
PEDRANOPOLIS,353690,GVE 30 JALES,UBS DE PEDRANOPOLIS,"R. Antônio Milhorini, 368 - Centro, Pedranópolis - SP, 15630-000",0,,0,(17)3838-1159,,-2.024.848,-5.011.017,0,0,0,0,0,0,0,0,-20.24848,-50.11017
PEDREGULHO,353700,GVE 18 FRANCA,SANTA CASA DE MISERICÓRDIA - PEDREGULHO,"R. TENENTE SALVIANO, 125",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(16) 3711-2149,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.025.846,-4.747.691,1,1,0,0,1,1,1,0,-20.25846,-47.47691
PEDREIRA,353710,GVE 17 CAMPINAS,FUNDACAO BENEFICIENTE DE PEDREIRA,"Rua Henriqueta Rondelo Canesso, 161 - Vila Canesso, Pedreira - SP, 13920-000",0,,1,(19) 3852-9630,,-2.274.483,-4.691.729,0,0,0,0,0,0,0,0,-22.74483,-46.91729
PEDRINHAS PAULISTA,353715,GVE 13 ASSIS,UBS DR PRIMO RUY,"R. Paraná, 265-301, Pedrinhas Paulista - SP, 19865-000",0,,0,(18) 3375-1365,,-2.281.329,-5.079.346,0,0,0,0,0,0,0,0,-22.81329,-50.79346
PEDRO DE TOLEDO,353720,GVE 23 REGISTRO,UNIDADE MISTA - PEDRO DE TOLEDO,"AV. CORONEL RAIMUNDO VASCONCELOS, 360 - CENTRO",1,"Botrópico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(13) 3419-7010,JARARACA; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.427.516,-4.723.286,1,0,0,0,1,1,1,0,-24.27516,-47.23286
PENAPOLIS,353730,GVE 11 ARACATUBA,SANTA CASA DE MISERICÓRDIA DE PENÁPOLIS,"AV. SANTA CASA, 566",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(18) 3652-2210,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.142.325,-5.007.212,1,1,0,0,1,1,1,0,-21.42325,-50.07212
PEREIRA BARRETO,353740,GVE 11 ARACATUBA,SANTA CASA DE PEREIRA BARRETO,"RUA DERMIVAL FRANCESCHI, 505",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(18) 3704-4255,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.065.323,-5.111.565,1,1,0,0,1,1,1,0,-20.65323,-51.11565
PEREIRAS,353750,GVE 16 BOTUCATU,CENTRO DE SAUDE DE PEREIRAS,"Praça Dr Paulo Fraletti s/ n - Centro, Pereiras - SP, 18580-000",0,,1,(14) 3888-1272,,-2.307.333,-4.797.706,0,0,0,0,0,0,0,0,-23.07333,-47.97706
PERUIBE,353760,GVE 25 SANTOS,UPA PERUÍBE (PROVISÓRIO),RUA ALFREDO GOMES 46. CENTRO. PERUÍBE,1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(13) 3454-1589,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.431.923,-4.700.318,1,1,0,0,1,1,1,0,-24.31923,-47.00318
PIACATU,353770,GVE 11 ARACATUBA,UBS III DE PIACATU ANTONIO CIRO DEPS,"Trecho Vereador Guilherme Tomarozzi 63, Piacatu - SP, 16230-000",0,,0,1836931248,,-2.159.332,-5.059.862,0,0,0,0,0,0,0,0,-21.59332,-50.59862
PIEDADE,353780,GVE 31 SOROCABA,HOSPITAL SANTA CASA - PIEDADE,"RUA QUINTINO BOCAIUVA, Nº 154, CENTRO",1,"Botrópico, Crotálico, Escorpiônico e Loxoscélico, Fonêutrico.",1,(15) 3244-8200,JARARACA; CASCAVEL; ESCORPIÃO.,-2.371.306,-4.741.929,1,1,0,0,1,1,1,0,-23.71306,-47.41929
PILAR DO SUL,353790,GVE 31 SOROCABA,SANTA CASA PILAR DO SUL,"Av. Papa João XXIII, 1038 - Campo Grande, Pilar do Sul - SP, 18185-000",0,,1,(15) 3278-9600,,-2.381.087,-4.772.908,0,0,0,0,0,0,0,0,-23.81087,-47.72908
PINDAMONHANGABA,353800,GVE 33 TAUBATE,PRONTO SOCORRO MUNICIPAL - PINDAMONHANGABA,R. MAJOR JOSÉ DOS SANTOS MOREIRA 466 - CEP 12.410-050,1,"Botrópico, Crotálico, Escorpiônico e Loxoscélico, Fonêutrico.",1,(12) 3550-0597 / (12) 3550-0600,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.293.105,-4.545.859,1,1,0,0,1,1,1,0,-22.93105,-45.45859
PINDORAMA,353810,GVE 29 SAO JOSE DO RIO PRETO,PRONTO SOCORRO MUNICIPAL JOAO NASSAR,"R. Wenceslau Braz, 149 - Centro Histórico de São Paulo, Pindorama - SP, 15830-000",0,,1,(17) 3572-1504,,-2.118.503,-4.890.494,0,0,0,0,0,0,0,0,-21.18503,-48.90494
PINHALZINHO,353820,GVE 17 CAMPINAS,CSIII DR HUGO ROCHA,"R. Variante Americo Pedro Benedetti, 71, Pinhalzinho - SP, 12995-000",0,,0,(11) 4018-4129,,-2.278.330,-4.658.218,0,0,0,0,0,0,0,0,-22.7833,-46.58218
