MUNICIPIO,ID_MUNICIP,GVE,UNIDADE_DE_SAUDE,ENDERECO,TEM_SORO,TIPO_SORO,24H,TELEFONE,ACIDENTES,LATITUDE,LONGITUDE,BOTROPICO,CROTALICO,ELAPIDICO,LAQUETICO,LOXOSCELICO,FONEUTRICO,ESCORPIONICO,LONOMICO,lat,lon
IGUARACU DO TIETE,352000,GVE 15 BAURU,PRONTO ATENDIMENTO IGARACU DO TIETE,"RUA MARIA DO CARMO NICOLETTE ORTEGA, 168",1,Escorpiônico,1,(14) 3438-3237,ESCORPIÃO,-2.252.165,-4.856.295,0,0,0,0,0,0,1,0,-22.52165,-48.56295
IGARAPAVA,352010,GVE 18 FRANCA,SANTA CASA DE MISERICÓRDIA - IGARAPAVA,"R. CEL. FRANCISCO MARTINS, 769",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(16) 3172-1611,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.003.552,-4.774.991,1,1,0,0,1,1,1,0,-20.03552,-47.74991
IGARATA,352020,GVE 27 SAO JOSE DOS CAMPOS,UNIDADE MISTA DE SAUDE ANTONIA RAMOS PRIANTI,"Av. Benedito Rodrigues de Freitas, 300 - Centro, Igaratá - SP, 12350-000",0,,1,(11) 4610-0468,,-2.320.644,-4.615.520,0,0,0,0,0,0,0,0,-23.20644,-46.1552
IGUAPE,352030,GVE 23 REGISTRO,UNIDADE MISTA - IGUAPE,"RUA DOS ESTUDANTES, 40 - CENTRO",1,"Botrópico, Escorpiônico e Loxoscélico, Fonêutrico.",1,(13) 3841-3366,JARARACA; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.471.121,-4.755.927,1,0,0,0,1,1,1,0,-24.71121,-47.55927
ILHA COMPRIDA,352042,GVE 23 REGISTRO,PRONTO ATENDIMENTO VALDIR M SAMPAIO,"RUA BOM JESUS DE IGUAPE, S/N - SAMBURA",1,"Botrópico, Escorpiônico e Loxoscélico, Fonêutrico.",1,(13) 3842-1629,JARARACA; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.473.651,-4.755.080,1,0,0,0,1,1,1,0,-24.73651,-47.5508
ILHA SOLTEIRA,352044,GVE 11 ARACATUBA,ASSOCIAÇÃO HOSPITALAR DE ILHA SOLTEIRA,"ALAMEDA BAHIA, 618",1,"Botrópico, Crotálico, Loxoscélico, Fonêutrico e Escorpiônico.",1,(18) 3743-1500,JARARACA; CASCAVEL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.043.143,-5.133.916,1,1,0,0,1,1,1,0,-20.43143,-51.33916
ILHABELA,352040,GVE 28 CARAGUATATUBA,HOSP. MUNICIPAL GOV. MARIO COVAS,"R PROF. MALAQUIAS DE OLIVEIRA FREITAS, 154",1,"Botrópico, Crotálico, Elapídico, Escorpiônico, Loxoscélico, Fonêutrico e Lonômico.",1,(12) 3895-3520,JARARACA; CASCAVEL; CORAL; ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO; LONÔMIA.,-2.382.334,-4.537.856,1,1,1,0,1,1,1,1,-23.82334,-45.37856
INDAIATUBA,352050,GVE 17 CAMPINAS,HOSP. AUGUSTO DE OLIVEIRA CAMARGO,"AV. FRANCISCO DE PAULA LEITE, 399",1,"Escorpiônico e Loxoscélico, Fonêutrico.",1,(19) 3801-8200 R. 8347,ARANHA MARROM; ARANHA ARMADEIRA; ESCORPIÃO.,-2.309.268,-4.721.389,0,0,0,0,1,1,1,0,-23.09268,-47.21389
INDIANA,352060,GVE 21 PRESIDENTE PRUDENTE,UNIDADE BASICA DE SAUDE II DE INDIANA,"AVN ALZIRA SANTANA LEBRAO, S/N",0,,0,(18) 3995-1476,,-2.217.509,-5.125.157,0,0,0,0,0,0,0,0,-22.17509,-51.25157
INDIAPORA,352070,GVE 30 JALES,CASA DE SAUDE DE INDIAPORA,"R. Coleta Macedo de Oliveira, 1000 - Centro, Indiaporã - SP, 15690-000",0,,0,(17) 3842-1101,,-1.997.919,-5.028.515,0,0,0,0,0,0,0,0,-19.97919,-50.28515
INUBIA PAULISTA,352080,GVE 19 MARILIA,UNIDADE BASICA DE SAUDE ARMANDO CENEDESI,"R. Antonio Facco, 665 - Centro, Inúbia Paulista - SP, 17760-000",0,,0,(18) 3556-1233,,-2.177.001,-5.096.052,0,0,0,0,0,0,0,0,-21.77001,-50.96052
IPAUSSU,352090,GVE 13 ASSIS,SANTA CASA DE IPAUCU,"Av. Rui Barbosa, 451 - Centro, Ipaussu - SP, 18950-000",0,,1,(14) 344-1112,,-2.305.218,-4.962.406,0,0,0,0,0,0,0,0,-23.05218,-49.62406
IPERO,352100,GVE 31 SOROCABA,HOSPITAL PEDRO TREBBI DE CASTRO,"Av. Paulo Antunes Moreira, 1800 - Jardim Santa Cruz, Iperó - SP, 18560-000",0,,1,(15) 3266-1100,,-2.335.796,-4.770.287,0,0,0,0,0,0,0,0,-23.35796,-47.70287
