ID_MUNICIP,nome_destino,cod_macro_destino,macro_destino,cod_RS_destino,RS_destino,lat_destino,lon_destino,ANT_MUNIC_,nome_origem,cod_macro_origem,macro_origem,cod_RS_origem,RS_origem,lat_origem,lon_origem,distancia_km,total_ocorrencias
353510,Palmares Paulista,3531,RRAS12,35151,CATANDUVA,-21.0854,-48.8037,353390.0,Olímpia,3530,RRAS13,35051,NORTE - BARRETOS,-20.7366,-48.9106,40.18709846913623,1
353510,Palmares Paulista,3531,RRAS12,35151,CATANDUVA,-21.0854,-48.8037,355370.0,Taquaritinga,3535,RRAS 18,35033,NOROESTE DO DRS III,-21.4049,-48.5103,46.67859744266506,1
353510,Palmares Paulista,3531,RRAS12,35151,CATANDUVA,-21.0854,-48.8037,355690.0,Vista Alegre do Alto,3530,RRAS13,35052,SUL - BARRETOS,-21.1692,-48.6284,20.43790925644061,7
353550,Paraguaçu Paulista,3533,RRAS10,35092,ASSIS,-22.4114,-50.5732,351990.0,Iepê,3532,RRAS11,35113,ALTO CAPIVARI,-22.6602,-51.0779,58.77578670217171,1
353550,Paraguaçu Paulista,3533,RRAS10,35092,ASSIS,-22.4114,-50.5732,354130.0,Presidente Epitácio,3532,RRAS11,35114,EXTREMO OESTE PAULISTA,-21.7651,-52.1111,174.09596705494442,1
353550,Paraguaçu Paulista,3533,RRAS10,35092,ASSIS,-22.4114,-50.5732,354170.0,Quatá,3532,RRAS11,35113,ALTO CAPIVARI,-22.2456,-50.6966,22.33165819782147,13
353570,Paraíso,3531,RRAS12,35151,CATANDUVA,-21.0159,-48.7761,350520.0,Bariri,3518,RRAS9,35064,JAU,-22.073,-48.7438,117.0943639447345,1
353570,Paraíso,3531,RRAS12,35151,CATANDUVA,-21.0159,-48.7761,350610.0,Bebedouro,3530,RRAS13,35052,SUL - BARRETOS,-20.9491,-48.4791,31.756045307866717,2
353570,Paraíso,3531,RRAS12,35151,CATANDUVA,-21.0159,-48.7761,350930.0,Cajobi,3530,RRAS13,35051,NORTE - BARRETOS,-20.8773,-48.8063,15.66345267636459,2
353570,Paraíso,3531,RRAS12,35151,CATANDUVA,-21.0159,-48.7761,353150.0,Monte Azul Paulista,3530,RRAS13,35052,SUL - BARRETOS,-20.9065,-48.6387,18.73210320205243,2
353570,Paraíso,3531,RRAS12,35151,CATANDUVA,-21.0159,-48.7761,353190.0,Morro Agudo,3530,RRAS13,35082,ALTA ANHANGUERA,-20.7288,-48.0581,81.1944267232387,1
353580,Paranapanema,3518,RRAS9,35061,VALE DO JURUMIRIM,-23.3862,-48.7214,350220.0,Angatuba,3519,RRAS8,35161,ITAPETININGA,-23.4917,-48.4139,33.52479759781258,1
353650,Paulínia,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,-22.7542,-47.1488,351620.0,Franca,3530,RRAS13,35081,TRES COLINAS,-20.5352,-47.4039,247.11489547908965,1
353650,Paulínia,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,-22.7542,-47.1488,352690.0,Limeira,3529,RRAS14,35102,LIMEIRA,-22.566,-47.397,32.940540989924955,1
353650,Paulínia,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,-22.7542,-47.1488,353870.0,Piracicaba,3529,RRAS14,35103,PIRACICABA,-22.7338,-47.6476,51.2839255135616,1
353650,Paulínia,3528,RRAS15,35072,REGIAO METROPOLITANA DE CAMPINAS,-22.7542,-47.1488,354420.0,Riolândia,3531,RRAS12,35157,VOTUPORANGA,-19.9868,-49.6836,403.7048698885311,1
353660,Paulo de Faria,3531,RRAS12,35155,SAO JOSE DO RIO PRETO,-20.0296,-49.4,353630.0,Patrocínio Paulista,3530,RRAS13,35081,TRES COLINAS,-20.6384,-47.2801,231.399849739982,1
353730,Penápolis,3531,RRAS12,35023,CONSORCIOS DO DRS II,-21.4148,-50.0769,351810.0,Guarantã,3533,RRAS10,35093,MARILIA,-21.8942,-49.5914,73.09689862151927,1
353730,Penápolis,3531,RRAS12,35023,CONSORCIOS DO DRS II,-21.4148,-50.0769,352900.0,Marília,3533,RRAS10,35093,MARILIA,-22.2171,-49.9501,89.7991040732677,1
353730,Penápolis,3531,RRAS12,35023,CONSORCIOS DO DRS II,-21.4148,-50.0769,354010.0,Pongaí,3518,RRAS9,35065,LINS,-21.7396,-49.3604,82.46004798135907,1
353730,Penápolis,3531,RRAS12,35023,CONSORCIOS DO DRS II,-21.4148,-50.0769,354160.0,Promissão,3518,RRAS9,35065,LINS,-21.5356,-49.8599,26.16625761399088,5
353730,Penápolis,3531,RRAS12,35023,CONSORCIOS DO DRS II,-21.4148,-50.0769,354180.0,Queiroz,3533,RRAS10,35095,TUPA,-21.7969,-50.2415,45.611933860597794,1
353730,Penápolis,3531,RRAS12,35023,CONSORCIOS DO DRS II,-21.4148,-50.0769,354460.0,Sabino,3518,RRAS9,35065,LINS,-21.4593,-49.5755,52.2104830741216,1
353740,Pereira Barreto,3531,RRAS12,35022,LAGOS DO DRS II,-20.6368,-51.1123,353540.0,Panorama,3532,RRAS11,35111,ALTA PAULISTA,-21.354,-51.8562,110.8495388277742,1
353750,Pereiras,3518,RRAS9,35063,POLO CUESTA,-23.0804,-47.972,353870.0,Piracicaba,3529,RRAS14,35103,PIRACICABA,-22.7338,-47.6476,50.80264217586788,1
353770,Piacatu,3531,RRAS12,35023,CONSORCIOS DO DRS II,-21.5921,-50.6003,353600.0,Parapuã,3533,RRAS10,35095,TUPA,-21.7792,-50.7949,28.892184617610887,1
