ANT_TEMPO_,TP_ACIDENT,ID_MUNICIP,nome_destino,cod_macro_destino,macro_destino,cod_RS_destino,RS_destino,lat_destino,lon_destino,ANT_MUNIC_,nome_origem,cod_macro_origem,macro_origem,cod_RS_origem,RS_origem,lat_origem,lon_origem,distancia_km,total_ocorrencias
1.0,1.0,350270,Apiaí,3519,RRAS8,35162,ITAPEVA,-24.5108,-48.8443,354280.0,Ribeira,3519,RRAS8,35162,ITAPEVA,-24.6517,-49.0044,22.5067208348998,5
1.0,1.0,350280,Araçatuba,3531,RRAS12,35021,CENTRAL DO DRS II,-21.2076,-50.4401,350420.0,Auriflama,3531,RRAS12,35021,CENTRAL DO DRS II,-20.6836,-50.5572,59.27998218732751,1
1.0,1.0,350280,Araçatuba,3531,RRAS12,35021,CENTRAL DO DRS II,-21.2076,-50.4401,350640.0,Bilac,3531,RRAS12,35021,CENTRAL DO DRS II,-21.404,-50.4746,22.03826684828306,1
1.0,1.0,350280,Araçatuba,3531,RRAS12,35021,CENTRAL DO DRS II,-21.2076,-50.4401,351820.0,Guararapes,3531,RRAS12,35021,CENTRAL DO DRS II,-21.2544,-50.6453,21.922899374352387,1
1.0,1.0,350280,Araçatuba,3531,RRAS12,35021,CENTRAL DO DRS II,-21.2076,-50.4401,353330.0,Nova Luzitânia,3531,RRAS12,35021,CENTRAL DO DRS II,-20.856,-50.2617,43.11962003775732,2
1.0,1.0,350280,Araçatuba,3531,RRAS12,35021,CENTRAL DO DRS II,-21.2076,-50.4401,354805.0,Santo Antônio do Aracanguá,3531,RRAS12,35021,CENTRAL DO DRS II,-20.9331,-50.498,30.981981716890047,15
1.0,1.0,350280,Araçatuba,3531,RRAS12,35021,CENTRAL DO DRS II,-21.2076,-50.4401,355630.0,Valparaíso,3531,RRAS12,35021,CENTRAL DO DRS II,-21.2229,-50.8699,44.65422777219611,1
1.0,1.0,350315,Arapeí,3526,RRAS17,35172,CIRCUITO DA FE E VALE HISTORICO,-22.6717,-44.4441,354960.0,São José do Barreiro,3526,RRAS17,35172,CIRCUITO DA FE E VALE HISTORICO,-22.6414,-44.5774,14.105484694234814,1
1.0,1.0,350320,Araraquara,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.7845,-48.178,350170.0,Américo Brasiliense,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.7288,-48.1147,8.994936206119057,3
1.0,1.0,350320,Araraquara,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.7845,-48.178,350670.0,Boa Esperança do Sul,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.9918,-48.3906,31.77421262692036,4
1.0,1.0,350320,Araraquara,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.7845,-48.178,351430.0,Dourado,3535,RRAS 18,35032,CORACAO DO DRS III,-22.1044,-48.3178,38.25317664490467,4
1.0,1.0,350320,Araraquara,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.7845,-48.178,351685.0,Gavião Peixoto,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.8367,-48.4957,33.354386214644194,2
1.0,1.0,350320,Araraquara,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.7845,-48.178,351930.0,Ibaté,3535,RRAS 18,35032,CORACAO DO DRS III,-21.9584,-47.9882,27.48816006772221,1
1.0,1.0,350320,Araraquara,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.7845,-48.178,353205.0,Motuca,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.5103,-48.1538,30.46411604893144,5
1.0,1.0,350320,Araraquara,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.7845,-48.178,353290.0,Nova Europa,3535,RRAS 18,35033,NOROESTE DO DRS III,-21.7765,-48.5705,40.60212261774837,3
1.0,1.0,350320,Araraquara,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.7845,-48.178,354290.0,Ribeirão Bonito,3535,RRAS 18,35032,CORACAO DO DRS III,-22.0685,-48.182,31.449832022354386,4
1.0,1.0,350320,Araraquara,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.7845,-48.178,354370.0,Rincão,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.5894,-48.0728,24.19087240344503,2
1.0,1.0,350320,Araraquara,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.7845,-48.178,354690.0,Santa Lúcia,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.685,-48.0885,14.39135338265674,2
1.0,1.0,350320,Araraquara,3535,RRAS 18,35031,CENTRAL DO DRS III,-21.7845,-48.178,355475.0,Trabiju,3535,RRAS 18,35031,CENTRAL DO DRS III,-22.0388,-48.3342,32.45580485417836,3
1.0,1.0,350330,Araras,3529,RRAS14,35101,ARARAS,-22.3572,-47.3842,351220.0,Conchal,3529,RRAS14,35101,ARARAS,-22.3375,-47.1729,21.8748016554018,5
1.0,1.0,350350,Areias,3526,RRAS17,35172,CIRCUITO DA FE E VALE HISTORICO,-22.5786,-44.6992,354960.0,São José do Barreiro,3526,RRAS17,35172,CIRCUITO DA FE E VALE HISTORICO,-22.6414,-44.5774,14.324269963930655,1
1.0,1.0,350390,Arujá,3525,RRAS2,35011,ALTO DO TIETE,-23.3965,-46.32,352310.0,Itaquaquecetuba,3525,RRAS2,35011,ALTO DO TIETE,-23.4835,-46.3457,9.98675976984122,3
1.0,1.0,350390,Arujá,3525,RRAS2,35011,ALTO DO TIETE,-23.3965,-46.32,354680.0,Santa Isabel,3525,RRAS2,35011,ALTO DO TIETE,-23.3172,-46.2237,13.19429757202812,2
1.0,1.0,350400,Assis,3533,RRAS10,35092,ASSIS,-22.66,-50.4183,351330.0,Cruzália,3533,RRAS10,35092,ASSIS,-22.7373,-50.7909,39.22949469481778,1
